,x_nose,y_nose,c_nose,x_left_eye,y_left_eye,c_left_eye,x_right_eye,y_right_eye,c_right_eye,x_left_ear,y_left_ear,c_left_ear,x_right_ear,y_right_ear,c_right_ear,x_left_shoulder,y_left_shoulder,c_left_shoulder,x_right_shoulder,y_right_shoulder,c_right_shoulder,x_left_elbow,y_left_elbow,c_left_elbow,x_right_elbow,y_right_elbow,c_right_elbow,x_left_wrist,y_left_wrist,c_left_wrist,x_right_wrist,y_right_wrist,c_right_wrist,x_left_hip,y_left_hip,c_left_hip,x_right_hip,y_right_hip,c_right_hip,x_left_knee,y_left_knee,c_left_knee,x_right_knee,y_right_knee,c_right_knee,x_left_ankle,y_left_ankle,c_left_ankle,x_right_ankle,y_right_ankle,c_right_ankle,frame
0,0.004043328,0.49375856,0.478042,-0.003829361,0.47213328,0.33926693,-0.0036665164,0.5114014,0.33769256,-9.4306415e-05,0.44280207,0.34371498,0.00390927,0.53038114,0.49965352,0.073832415,0.36692286,0.835031,0.07359758,0.5945857,0.75934255,0.27913097,0.3631881,0.8153775,0.27605852,0.62971973,0.8795295,0.22998683,0.45563254,0.37307927,0.24246721,0.57441187,0.39313158,0.3949103,0.43182215,0.7075827,0.3920402,0.5681961,0.7426974,0.66799396,0.39113533,0.6153791,0.6597597,0.60574996,0.7149583,0.9536924,0.36932725,0.5727745,0.9574237,0.6270373,0.66188985,0
1,0.010212577,0.49051604,0.48207983,0.003098362,0.46956405,0.3450665,0.0024668917,0.50778764,0.3238229,0.0091699,0.44353312,0.41593647,0.011960529,0.5291965,0.56278753,0.0793521,0.36421558,0.7874644,0.077952,0.59668934,0.6833872,0.28643486,0.36495137,0.8299417,0.27850425,0.63080233,0.84540975,0.2422177,0.45542276,0.33917376,0.24352454,0.5911138,0.32341197,0.39500463,0.43317446,0.69129467,0.3932438,0.5739472,0.578679,0.67394274,0.38752252,0.51453936,0.6604941,0.6089432,0.76678115,0.9618616,0.3671702,0.6587829,0.9507181,0.62933826,0.6596695,1
2,0.012857913,0.48879966,0.42318687,0.007727598,0.4695738,0.40002102,0.0066235717,0.5040106,0.3100051,0.014621983,0.44581923,0.4475343,0.017107733,0.5262395,0.565223,0.09068841,0.36600715,0.6737404,0.08590635,0.60433626,0.7689084,0.28857523,0.36606833,0.8024119,0.28658816,0.6249553,0.86947775,0.24867265,0.44100767,0.3683385,0.24707918,0.5810803,0.30170798,0.3986556,0.429939,0.6936375,0.39584047,0.5750686,0.7345489,0.6775981,0.37952495,0.6590803,0.65871114,0.61157864,0.7444867,0.95380783,0.36742276,0.6404309,0.9496581,0.63054544,0.6793932,2
3,0.027326599,0.49629474,0.30750728,0.021506328,0.48681068,0.36183608,0.020547122,0.50371844,0.33510286,0.03308191,0.46973166,0.55600625,0.034410667,0.5186224,0.4342505,0.095656544,0.37819573,0.6299791,0.09451073,0.5943117,0.8071101,0.29275954,0.36574394,0.6936002,0.2938577,0.6304339,0.67253625,0.26995623,0.4605741,0.29690683,0.2644448,0.5754902,0.40424743,0.40045092,0.44178554,0.6001959,0.40024948,0.5619376,0.6291011,0.6793128,0.3768466,0.6261233,0.6628108,0.61546755,0.69305336,0.95684874,0.37060985,0.6353159,0.953331,0.6281477,0.63409126,3
4,0.04649679,0.49203905,0.46146807,0.04196931,0.47705054,0.3007448,0.03940218,0.50045323,0.35940468,0.0586881,0.45572576,0.5540265,0.055468347,0.5242128,0.6105232,0.10619682,0.37017828,0.6889578,0.099494964,0.6069615,0.73681796,0.29930365,0.35779127,0.7224671,0.29530096,0.6316098,0.6602915,0.309904,0.45742163,0.25973383,0.2810319,0.5368371,0.22091414,0.40164316,0.4361609,0.6239853,0.40482947,0.5695355,0.53713083,0.67886424,0.37525734,0.57614917,0.6601729,0.61863625,0.6005901,0.96837354,0.3692306,0.688036,0.9576897,0.63126487,0.5577222,4
5,0.06919879,0.4893186,0.4644457,0.06617573,0.48366818,0.39424172,0.062017396,0.48808312,0.31122914,0.07823213,0.4784966,0.54419845,0.07345087,0.49760354,0.4612369,0.118606925,0.38986665,0.501524,0.11371787,0.5805684,0.7036857,0.31138003,0.36741015,0.5552901,0.30506977,0.6239161,0.6672394,0.34571597,0.4949512,0.3062136,0.3192729,0.494562,0.14662531,0.39982164,0.46352157,0.59238935,0.40192145,0.54461205,0.572725,0.68443507,0.37026078,0.5234142,0.6652637,0.6198795,0.6162828,0.9668913,0.36679,0.7902364,0.96852195,0.62990373,0.6782316,5
6,0.091744624,0.49832773,0.50227416,0.0860286,0.48358017,0.42921764,0.083547845,0.50778115,0.44398326,0.09290775,0.4611984,0.59829986,0.09211427,0.5297059,0.77643406,0.13512596,0.37335902,0.7945525,0.12840939,0.60230184,0.6727264,0.32594132,0.36346564,0.5924784,0.32224852,0.62878865,0.72556627,0.35972163,0.47803843,0.3071478,0.35776648,0.5195933,0.21351908,0.40548918,0.4314127,0.6220446,0.40298885,0.56346273,0.6748112,0.67219377,0.37301415,0.50861573,0.6565301,0.6159622,0.5767528,0.9645545,0.3664354,0.7669778,0.96019495,0.6331919,0.6081068,6
7,0.10946815,0.49544644,0.54570097,0.103131935,0.48040664,0.4454425,0.10277787,0.50493526,0.4808937,0.110574216,0.46134207,0.55693007,0.11073084,0.527361,0.7096926,0.15541965,0.3725031,0.7576841,0.15420641,0.6059887,0.86644566,0.33949715,0.36534518,0.621149,0.33534133,0.6300573,0.71542704,0.39490986,0.4570955,0.32803798,0.38258135,0.52609867,0.3025574,0.4053157,0.43070722,0.64541733,0.40395653,0.57667506,0.718462,0.67072,0.37139854,0.537451,0.65700483,0.6133396,0.51140726,0.964323,0.3689534,0.75035775,0.9701811,0.6299918,0.62799764,7
8,0.12075346,0.4966111,0.44829237,0.11800724,0.4826613,0.52923447,0.1197676,0.506634,0.5569595,0.12812321,0.46076486,0.5843353,0.13002667,0.5290166,0.55963457,0.16969335,0.36806852,0.6668402,0.16683155,0.6053829,0.7786168,0.35820442,0.36747167,0.7430169,0.3443775,0.6287833,0.89574474,0.44010448,0.45016786,0.30266288,0.43535146,0.53683984,0.29339284,0.4106816,0.42838272,0.59758717,0.41295564,0.5783266,0.6635152,0.6694407,0.37291628,0.6032682,0.6599628,0.61352193,0.570242,0.9608354,0.36883664,0.80311286,0.96059227,0.63275075,0.49106994,8
9,0.13960475,0.49572742,0.4808491,0.1336267,0.48332176,0.5127528,0.13660589,0.50555223,0.54048365,0.14249973,0.46585688,0.6913102,0.14738223,0.5262538,0.63389754,0.18581113,0.37029573,0.66044307,0.18698752,0.60463023,0.74953115,0.36945924,0.36679587,0.6740749,0.36365384,0.63090855,0.65307033,0.45407826,0.4335279,0.3350651,0.4443843,0.5363691,0.2705448,0.42444405,0.43541726,0.6647756,0.42287695,0.57353365,0.64244074,0.66878045,0.37222815,0.65470177,0.66195244,0.6151302,0.60875416,0.9601642,0.3718084,0.7908337,0.9671697,0.6291151,0.604384,9
